Nombre de la Unidad Económica,Nombre de asentamiento humano,Código Postal,Área geoestadística básica ,Latitud,Longitud,poly_idx,CVE_AGEB
TIENDA DE ABARROTES,VILLA SATELITE,80088,1604,24.80709723,-107.3572169,180,1604
ABARROTES BARELAS,HUIZACHES,80298,3973,24.75770672,-107.3842453,603,3973
ABARROTES MELY,LOMAS DE RODRIGUERA,80019,3047,24.87010404,-107.3916298,252,3047
ABARROTES EVA,INFONAVIT HUMAYA,80020,3992,24.82276018,-107.418068,317,3992
ABARROTES LETY,INDUSTRIAL EL PALMITO,80160,413,24.77973946,-107.4316701,127,0413
ABARROTES ARCELIA,INFONAVIT CAÑADAS,80170,405A,24.7819113,-107.4047235,30,405A
SUPER MAS,VILLAS DEL RIO,80050,6662,24.80527614,-107.4427851,247,6662
ABARROTES LR,ALTURAS DEL SUR,80295,8635,24.76376475,-107.3541068,103,8635
ABARROTES JOSE,7 GOTAS,80247,5503,24.79343979,-107.3493244,495,5503
FRUTERIA ANGELA,CAPISTRANO,80194,6658,24.74821529,-107.4157026,322,6658
ABARROTES LOS OLIVOS,ALAMEDA,80019,6272,24.86967209,-107.3851541,555,6272
ABARROTES ABIGAIL,RENATO VEGA AMADOR,80280,4685,24.78114474,-107.3492975,494,4685
BODEGA SIN NOMBRE,FERROCARILERA,80194,2335,24.76372696,-107.4287592,185,2335
ABARROTES MORENO,VILLA FONTANA,80029,5560,24.83624618,-107.4186747,299,5560
ABARROTES GONZALEZ,LOS MEZCALES,80019,3032,24.85943151,-107.3961753,218,3032
ABARROTES SIN NOMBRE,RAFAEL BUELNA,80230,3526,24.79284583,-107.3760558,383,3526
ABARROTES ALEJANDRO,LA ESPERANZA,80248,7374,24.78735603,-107.3487525,480,7374
ABARROTES MELISA,ALTURA DEL SUR,80295,7266,24.76507635,-107.3470274,478,7266
TORTILLERÍA Y ABARROTE MARÍA DE LA PAZ,ALTURAS DEL SUR,80295,3155,24.7645758,-107.3577643,72,3155
ESTANQUILLO AMALIA,INFONAVIIT HUMAYA,80020,3329,24.81977705,-107.4122238,47,3329
ABARROTES MARCELA,CAPISTRANO,80194,6658,24.74953605,-107.4148097,322,6658
SUPER GLORIA,CUAUHTEMOC,80027,2049,24.8295286,-107.4227548,368,2049
ABARROTES SIN NOMBRE,GUADALUPE VICTORIA,80240,3507,24.79360226,-107.3601485,226,3507
ABARROTES ISABEL,21 DE MARZO,80280,1924,24.78135045,-107.361227,196,1924
ABARROTES CASINO MODULO 8,AGUARUTO CENTRO,80308,3066,24.77447926,-107.4980445,350,3066
ABARROTES CARMELITA,VILLA DEL REAL,80247,6338,24.79551502,-107.3439752,436,6338
ABARROTES AURORA,GUSTAVO DIAZ ORDAZ,80180,362A,24.77572986,-107.4215704,385,362A
ABARROTERA ROMAN,CENTRO,80000,3403,24.80966312,-107.3858637,85,3403
ABARROTES EVA,EL MIRADOR,80017,1820,24.85005974,-107.3865932,608,1820
ABARROTES LUPITA,ALAMEDA,80019,5293,24.86223017,-107.3883501,243,5293
ABARROTES TERE,JORGE ALMADA,80200,3437,24.80054964,-107.4005272,369,3437
ABARROTES SIPO,LIBERTAD,80180,3653,24.77701048,-107.4135124,285,3653
ABARROTES LOLITA,VILLA BONITA Y REAL DE MINAS,80199,5274,24.7485749,-107.3883575,614,5274
ABARROTES GUADALUPE,GUSTAVO DIAZ ORDAZ,80180,3634,24.77247533,-107.4180158,275,3634
ABARROTES RODRIGUEZ,GUADALUPE VICTORIA,80240,5452,24.79319379,-107.3633707,556,5452
ABARROTES RIKI,LAS GLORIAS,80014,7463,24.85369748,-107.3581118,169,7463
ABARROTES EDDIN MODULO 12,AGUARUTO CENTRO,80308,3066,24.77447926,-107.4980445,350,3066
ABARROTES,CAMPESINA EL BARRIO,80080,6304,24.80045977,-107.3347682,411,6304
MINI SUPER EL PAYO,MIGUEL DE LA MADRID,80295,3846,24.76053594,-107.3663068,582,3846
ABARROTES BEATRIZ,PERIODISTA,80060,127,24.80967869,-107.3770145,451,0127
ABARROTES ANA MARIA,RENATO VEGA AMADOR,80280,7389,24.78295634,-107.3502477,470,7389
ABARROTES LOS MUCHACHOS,VALLE DE AMAPAS,80194,686A,24.74552917,-107.4135005,260,686A
ABARROTES IRMA,ANTONIO NACAYAMA,80194,5109,24.7557919,-107.4204471,356,5109
ESTANQUILLO SOCOORO,LAZARO CARDENAS,80290,3761,24.77680686,-107.3789283,176,3761
TIENDA DE ABARROTES LUDY,LOMAS DEL SOL DUPLEX,80016,4026,24.84428847,-107.3822552,225,4026
ABARROTES MARIA JOSE,PRADOS DEL SOL,80197,6889,24.74911932,-107.4198613,372,6889
ABARROTES REYES,ANTORCHISTA,80300,9506,24.73695584,-107.3691062,358,9506
ABARROTES PERALTA,AURORA,80070,131,24.80766446,-107.3681108,447,0131
MINISUPER AYMILI,LAS VEGAS,80090,3441,24.80373571,-107.3793705,152,3441
ABARROTES JOEL,VICENTE LOMBARDO TOLEDANO,80010,19,24.84496912,-107.395054,300,0019
ABARROTES ABRAN,DOMINGO RUBI,80194,4401,24.75830735,-107.4185579,96,4401
ESTANQUILLO,CAÑADAS,80178,405A,24.78114554,-107.4086789,30,405A
ABARROTES MELY,FRANCISCO I. MADERO,80199,2068,24.76667094,-107.392911,337,2068
ABARROTES DANIA,TERRANOVA,80143,6427,24.76941753,-107.4603871,597,6427
ABARROTES ALEX,VILLA BONITA,80000,5274,24.75208732,-107.3903221,614,5274
ABARROTES OSUNA,LIBERTAD,80180,3649,24.78329512,-107.4170216,313,3649
ABARROTES MARTHA,VILLEGAS,80308,2299,24.77736659,-107.5131584,395,2299
ABARROTES RAMONA,VILLA BONITA,80197,5132,24.7487168,-107.3905826,258,5132
ESTANQUILLO SILVIA,LOMA DE RODRIGUERA,80318,4647,24.87317302,-107.3858469,620,4647
ABARROTES ARMIDA,GUSTAVO DIAZ ORDAZ,80180,3808,24.76895466,-107.4206199,294,3808
ABARROTES DOÑA PAZ,EL MIRADOR,80017,1820,24.84992628,-107.3884997,608,1820
MINISUPER JASSIEL,ALTO BACHIGUALATO,80140,6446,24.77310753,-107.4739349,344,6446
ABARROTES GARCIA,ALTURAS DEL SUR,80295,593,24.7629953,-107.349695,500,0593
PANADERIA LA DELICIA,PLUTARCO ELIAS CALLES,80194,323A,24.75689971,-107.4256182,174,323A
CREMERIA Y ABARROTES EL ROSARIO,INFONAVIT HUMAYA,80020,4007,24.82342736,-107.4172097,256,4007
ABARROTES DOÑA LINA,5 DE FEBRERO,80247,7374,24.78848678,-107.346963,480,7374
ABARROTES ISABEL,EL PARAISO,80143,6431,24.76668157,-107.4622145,484,6431
ABARROTES CUMBRE,ADOLFO LOPEZ MATEOS,80197,6520,24.76214538,-107.4050575,550,6520
LA TIENDITA DE DON CHUY,COUNTRY ALAMOS,80100,4882,24.80350465,-107.4250632,324,4882
ABARROTES DON CHAVA,LAZARO CARDENAS,80290,1765,24.76606012,-107.3816457,197,1765
ABARROTES DON JOSÉ,INDUSTRIAL EL PALMITO,80160,413,24.77867575,-107.4269308,127,0413
ABARROTES GUADALJUPE ROJO,HUMAYA,80020,3333,24.82503591,-107.4092477,55,3333
EXPRESS TU COMIDA LISTA,DESARROLLO URBANO TRES RIOS,80106,4882,24.79876032,-107.4341337,324,4882
ESTANQUILLO DE DULCES Y REFRESCOS,ANTONIO TOLEDO CORRO,80296,3827,24.75674385,-107.3730149,424,3827
ABARROTES YAEL,ROTARISMO,80318,3051,24.87604783,-107.3894311,342,3051
LA GUERA,SAN RAFAEL,80150,3583,24.77233829,-107.441253,271,3583
ESTANQUILLO CASA DE VIDA,GUADALUPE VICTORIA,80240,5452,24.79509499,-107.3649037,556,5452
ABARROTES LUNA,ROSARIO UZARRA,80015,2091,24.83638018,-107.3743204,165,2091
LA COCINA DE CHAYITO,BACHIGUALATO,80140,5664,24.77825967,-107.4606364,549,5664
TIENDITA DE LA UAS,AMPLIACION PEMEX,80180,2335,24.76425069,-107.4253494,185,2335
ABARROTES ADIEL,AQUILES SERDAN,80190,3808,24.76995823,-107.4151748,294,3808
ABARROTES SIN NOMBRE,MELCHOR OCAMPO,80230,292,24.79764718,-107.3786225,329,0292
ABARROTES EL MÍO,LAS COLORADAS,80246,679A,24.77443722,-107.3432997,427,679A
TIENDA DE ABARROTES LA FE,LAS CUCAS,80018,3032,24.84952405,-107.3940265,218,3032
ABARROTES MILKA,FRACC CAPISTRANO,80194,6658,24.74648793,-107.4166777,322,6658
ABARROTES EL POLVADERO,AQUILES SERDAN,80180,3808,24.76554162,-107.42082,294,3808
ABARROTES JR,INFONAVIT HUMAYA,80020,3314,24.82316187,-107.414101,287,3314
ABARROTES,RAFAEL BUELNA,80260,3530,24.78624769,-107.3804506,387,3530
ABARROTES NIÑITA,BACHIGUALATO,80140,5664,24.77344131,-107.4628619,549,5664
ABARROTERA,VICENTE LOMBARTO TOLEDANO,80010,19,24.84261536,-107.3943908,300,0019
ABARROTES NUÑEZ,GUSTAVO DIAZ ORDAZ,80180,362A,24.77883673,-107.419777,385,362A
TIENDITA SIN NOMBRE,LAURELES PINOS,80246,6342,24.78196663,-107.3553964,148,6342
ABARROTES MALENA,FINISTERRA,80194,5113,24.7479086,-107.4234469,87,5113
ESTNQUILLO,LA PUERTA,80029,5556,24.83735932,-107.4237262,181,5556
ABARROTES TERE,JUNTAS DE HUMAYA,80054,5518,24.81200725,-107.4160988,272,5518
ABARROTES GIRASOL,10 DE MAYO,80270,3761,24.77865112,-107.3777284,176,3761
SPEEDY LUNCH,LOS ALAMOS,80106,4882,24.79876032,-107.4341337,324,4882
ABARROTES MARTITA,VICENTE LOMBARDO TOLEDANO,80010,1820,24.84823674,-107.3930895,608,1820
ABARROTES,5 DE MAYO,80230,292,24.79576292,-107.3801975,329,0292
ABARROTES ITZEL,JESUS MANUEL VALDEZ,80300,7410,24.74083534,-107.3781591,81,7410
