AGEB,LATITUD USAR,LONGITUD USAR,Año de apertura del negocio ,Edad del negocio,Trabajadores en el mes,Trabajadores con salario fijo,Salario para abandonar el negocio,Reja,Miscelanea o Tienda de Abarrotes,Fondita/Mini Resutaurante,Verdulería o Frutería,Tortillería,Otro negocio,Razon de las ventas: Violencia,Razon de las ventas: Conexiones,Razon de las ventas: Temporada,Razon de las ventas: Escuelas,Razon de las ventas: Otras,Credito Bancos,Credito Proovedores,Credito Familia,Credito Gobierno,Credito Ahorros populares (tandas),Crédito privado,Se recibio credito del banco?,Deseo de crecer el negocio,Sexo del dueño o dueña,Propiedad del local,Prediccion de los trabajadores,Nivel de clientes del ultimo mes,Prediccion de clientes,Ventas en el mes,Predicción de ventas,Cambio en el inventario,Prediccion del inventario ,Opinion sobre el inventario,Cambio en el precio,Prediccion del cambio de precio,Impacto Crimen,Impacto Credito,Impacto Incremento de precio,Impacto Competencia,Educación del dueño,Edad del dueño,Negocios,Ingresos,Gastos,Edad,Trabajadores,Trabajadores_Hombres,Trabajadores_Mujeres,Credito
6003,24.833925799999996,-107.39039299999999,2011.4,12.6,2.8,2.2,10300.0,0.2,0.2,0.0,0.0,0.2,0.6,0.4,0.0,0.2,0.0,0.4,0.6,0.2,0.8,0.0,0.4,0.0,0.6,0.4,0.6,0.8,2.2,2.0,3.0,2.0,3.0,1.8,3.0,2.0,2.2,2.6,4.4,3.2,3.2,3.8,2.8,4.6,,,,,,,,
6499,24.829483,-107.389288,2014.0,10.0,6.0,6.0,50000.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,9.0,1191.444444,755.4444444,9.111110999999937,1.888888889,1.444444444,0.444444444,0.222222222
4628,24.813307000000002,-107.3765435,2015.5,8.5,2.5,2.0,52500.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,3.0,3.0,3.0,1.5,3.0,2.0,2.5,2.0,5.0,3.0,3.0,5.0,3.5,4.5,,,,,,,,
4613,24.812143800000005,-107.37139399999998,2013.2,10.8,3.6,3.2,48000.0,0.8,0.2,0.2,0.2,0.2,0.2,0.6,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.4,0.2,0.0,1.0,0.4,0.8,2.0,1.2,3.0,2.0,3.0,1.8,2.2,1.8,2.6,2.8,3.4,1.4,3.6,3.2,4.4,5.2,,,,,,,,
3653,24.807491,-107.375657,2017.0,7.0,4.0,4.0,60000.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,5.0,1.0,1.0,5.0,4.0,5.0,9.0,426.5555556,338.0,10.222222000000102,1.777777778,0.777777778,1.0,0.0
3757,24.7976995,-107.39056199999999,1991.0,33.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,2.0,1.0,3.0,1.0,3.0,1.5,2.0,2.0,2.0,2.5,5.0,2.0,5.0,4.5,4.5,4.0,22.0,382.5909091,274.7272727,15.272727000000032,1.5,0.454545455,1.045454545,0.136363636
1892,24.7919,-107.398669,1999.0,25.0,0.0,1.0,20000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,6.0,4.0,427.25,285.0,9.0,2.0,1.0,1.0,0.0
4276,24.783145,-107.4145115,2006.0,18.0,4.0,3.5,60000.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,2.0,1.0,2.0,1.0,2.0,1.5,2.0,2.0,1.5,2.0,3.0,1.5,4.0,2.0,3.5,4.5,8.0,578.25,407.875,17.5,1.875,0.75,1.125,0.0
6821,24.827662,-107.459684,2020.0,4.0,3.0,2.0,30000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,139.0,104.5,4.75,1.5,0.25,1.25,0.0
3649,24.750756250000002,-107.39593024999999,2021.5,2.5,5.0,4.25,41250.0,0.75,0.5,0.5,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.25,0.25,0.0,1.0,0.75,0.5,2.25,1.75,2.75,1.75,2.75,1.75,2.75,2.25,2.5,2.0,4.25,1.75,4.25,2.5,4.5,3.5,15.0,381.8,267.3333333,12.866667000000007,1.866666667,0.933333333,0.933333333,0.2
4882,24.825439,-107.44937533333332,2020.3333333333333,3.6666666666666665,4.666666666666667,4.0,60000.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,2.0,2.6666666666666665,3.0,2.3333333333333335,3.0,2.3333333333333335,2.0,2.0,2.3333333333333335,3.0,3.3333333333333335,1.0,3.3333333333333335,3.3333333333333335,5.0,2.3333333333333335,23.0,561.8695652,330.6086957,12.739129999999932,1.826086957,0.695652174,1.130434783,0.043478261
3742,24.8367985,-107.382995,2015.0,9.0,3.5,1.0,35000.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,1.0,3.0,2.0,3.0,1.0,3.0,2.0,2.5,1.5,1.5,3.0,3.0,2.0,2.5,3.0,5.0,4.0,14.0,631.7857143,454.0714286,13.714285999999902,1.571428571,1.0,0.571428571,0.214285714
750A,24.788732,-107.40046,2024.0,0.0,4.0,4.0,32000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,,,,,,,,
7463,24.7779162,-107.40398839999997,2005.0,19.0,2.8,2.4,24250.0,0.6,0.6,0.0,0.0,0.2,0.2,0.6,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,1.0,0.0,1.0,2.2,1.6,3.0,1.4,3.0,1.8,2.4,1.6,2.2,2.8,4.6,2.8,3.2,2.6,5.0,5.4,,,,,,,,
7459,24.760476,-107.433408,2016.0,8.0,0.0,0.0,15000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,16.0,572.4375,388.25,5.8125,1.375,0.25,1.125,0.0
743A,24.829222,-107.42278,2000.0,24.0,2.0,2.0,7200.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,5.0,6.0,17.0,404.8823529,262.1176471,7.0,1.529411765,0.529411765,1.0,0.0
8616,24.84,-107.38,2008.0,16.0,0.0,0.0,3000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,1.5,2.0,1.0,1.5,1.5,2.0,1.5,2.0,2.0,5.0,1.0,1.0,3.0,4.0,5.5,,,,,,,,
0663,24.859471,-107.396921,2022.0,2.0,4.0,2.0,25000.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,,,,,,,,
3920,24.840269,-107.391766,1975.0,49.0,3.0,3.0,70000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,5.0,6.0,,,,,,,,
7196,24.832363833333332,-107.38436666666665,2013.6666666666667,10.333333333333334,3.6666666666666665,3.0,21566.666666666668,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.5,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,0.5,0.16666666666666666,2.0,1.0,2.6666666666666665,1.8333333333333333,2.8333333333333335,1.3333333333333333,2.6666666666666665,1.6666666666666667,2.1666666666666665,2.5,4.666666666666667,2.3333333333333335,3.1666666666666665,2.5,4.5,4.166666666666667,5.0,743.4,506.8,4.599999999999909,2.0,0.8,1.2,0.4
3916,24.823546,-107.379429,1993.0,31.0,2.0,0.0,8000.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,3.0,4.0,,,,,,,,
8423,24.8238685,-107.4140495,2001.0,23.0,5.5,5.5,150000.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,2.5,2.0,2.5,3.0,2.5,2.5,3.0,1.5,2.5,2.0,4.0,1.0,2.5,1.5,4.0,4.0,,,,,,,,
3691,24.8224345,-107.410909,2010.0,14.0,4.0,4.0,27000.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.5,1.5,2.0,3.0,1.5,2.5,2.0,2.5,2.0,2.5,2.5,3.5,1.5,1.5,3.0,4.5,3.0,13.0,282.6153846,136.6923077,11.23076900000001,1.615384615,0.384615385,1.230769231,0.0
9474,24.82717,-107.412931,1990.0,34.0,3.0,3.0,150000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,,,,,,,,
0536,24.81456,-107.3822275,2016.5,7.5,2.0,1.0,22500.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,2.0,2.0,3.0,3.0,3.0,2.0,2.5,2.0,2.5,2.5,5.0,1.5,3.0,3.5,3.5,3.5,,,,,,,,
6287,24.770956,-107.444007,2011.0,13.0,3.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,8.0,383.0,282.125,14.375,1.25,0.25,1.0,0.125
3297,24.778851,-107.415577,2020.0,4.0,2.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,6.0,,,,,,,,
4011,24.776379499999997,-107.413626,2021.0,3.0,2.5,1.5,36000.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,2.0,1.0,3.0,1.0,3.0,1.5,2.0,2.0,2.5,3.0,4.5,2.5,4.0,4.5,5.0,4.5,,,,,,,,
4238,24.780653,-107.382976,1989.0,35.0,5.0,5.0,80000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,5.0,9.0,751.6666667,538.5555556,13.333333000000039,1.555555556,0.555555556,1.0,0.0
3278,24.775007,-107.409701,1980.0,44.0,3.0,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,6.0,10.0,286.4,211.7,12.099999999999909,1.3,0.2,1.1,0.2
7321,24.77045,-107.413536,2020.0,4.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,5.0,3.0,5.0,5.0,2.0,5.0,,,,,,,,
4098,24.831907,-107.379874,2007.0,17.0,5.0,3.0,100000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,5.0,16.0,361.6875,229.875,8.375,1.3125,0.375,0.9375,0.0
4717,24.7647125,-107.45281299999999,2007.5,16.5,3.5,2.0,100000.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0,2.0,1.5,2.0,1.5,2.5,2.5,2.0,2.5,2.0,2.5,2.0,1.5,2.0,2.5,3.5,5.0,7.0,790.7142857,512.1428571,9.714285999999902,1.571428571,0.714285714,0.857142857,0.0
5700,24.778876,-107.45230699999999,2020.5,3.5,2.5,2.5,30000.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,2.0,2.0,2.5,1.0,2.0,1.5,2.5,2.0,3.0,2.5,3.5,2.0,3.0,2.0,4.0,4.5,9.0,576.2222222,400.5555556,7.333333000000039,1.777777778,0.666666667,1.111111111,0.0
184A,24.782158,-107.389528,2022.0,2.0,3.0,3.0,50000.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,10.0,223.9,132.6,11.099999999999909,1.7,0.6,1.1,0.0
6677,24.78212333333333,-107.38813499999999,2020.6666666666667,3.3333333333333335,3.6666666666666665,3.6666666666666665,40000.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,1.0,2.3333333333333335,1.6666666666666667,2.3333333333333335,1.6666666666666667,2.3333333333333335,2.3333333333333335,2.0,2.0,2.6666666666666665,3.0,4.0,1.0,1.3333333333333333,2.0,5.0,2.6666666666666665,,,,,,,,
6681,24.825145,-107.419862,2010.0,14.0,10.0,10.0,40000.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,5.0,5.0,2.0,5.0,5.0,4.0,,,,,,,,
6662,24.8205005,-107.4190715,2012.5,11.5,3.5,3.5,17500.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,2.5,3.0,2.0,3.0,3.0,2.5,3.0,2.5,3.0,2.0,1.5,1.5,1.5,2.0,3.5,4.5,4.0,770.25,437.5,12.25,3.0,0.75,2.25,0.0
0127,24.83827666666667,-107.38572833333335,2016.3333333333333,7.666666666666667,0.6666666666666666,0.6666666666666666,27333.333333333332,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,2.3333333333333335,2.0,2.3333333333333335,1.6666666666666667,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.0,2.0,2.0,3.6666666666666665,1.0,1.0,2.3333333333333335,3.6666666666666665,3.3333333333333335,5.0,356.4,216.8,24.40000000000009,1.2,0.6,0.6,0.0
0127,24.83827666666667,-107.38572833333335,2016.3333333333333,7.666666666666667,0.6666666666666666,0.6666666666666666,27333.333333333332,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,2.3333333333333335,2.0,2.3333333333333335,1.6666666666666667,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.0,2.0,2.0,3.6666666666666665,1.0,1.0,2.3333333333333335,3.6666666666666665,3.3333333333333335,35.0,333.4,226.8857143,11.400000000000091,1.457142857,0.714285714,0.742857143,0.057142857
3899,24.83783,-107.38533,2021.0,3.0,3.0,3.0,1800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,4.0,12.0,438.75,297.3333333,18.16666699999996,1.666666667,0.666666667,1.0,0.166666667
2091,24.7565285,-107.43658500000001,1999.5,24.5,2.0,2.0,27500.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.0,0.5,1.0,1.0,0.5,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.5,2.0,2.0,3.5,1.0,4.5,3.5,3.5,4.0,14.0,504.2857143,370.2857143,8.642857000000049,2.0,0.571428571,1.428571429,0.285714286
4026,24.790149666666668,-107.40358866666668,1994.0,30.0,0.6666666666666666,2.6666666666666665,53333.333333333336,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,2.0,1.3333333333333333,3.0,1.3333333333333333,3.0,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.3333333333333335,2.0,3.6666666666666665,1.0,1.0,3.3333333333333335,4.666666666666667,4.333333333333333,4.0,250.5,135.75,15.25,1.25,0.25,1.0,0.0
3901,24.750343,-107.4345905,2015.5,8.5,2.5,0.5,17500.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.5,1.0,2.0,2.0,2.0,2.5,2.5,2.0,2.5,1.5,2.5,2.0,4.0,1.0,1.0,4.0,4.0,4.0,11.0,309.0,216.1818182,13.545454999999947,1.363636364,0.909090909,0.454545455,0.090909091
5715,24.824275,-107.428678,1992.0,32.0,5.0,2.0,15000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,5.0,4.0,447.5,301.75,17.75,1.25,0.75,0.5,0.0
3992,24.822426,-107.423917,2014.0,10.0,3.0,0.0,14500.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,1.0,3.0,4.0,3.0,5.0,10.0,278.0,181.6,21.40000000000009,1.3,0.6,0.7,0.1
